CustomerID,CustomerName,Gender,Age,City,Country,LoyaltyTier
1,Customer 1,Male,42,Chennai,India,Silver
2,Customer 2,Female,56,Delhi,India,Platinum
3,Customer 3,Male,59,Delhi,India,Bronze
4,Customer 4,Female,26,Mumbai,India,Platinum
5,Customer 5,Male,46,Mumbai,India,Silver
6,Customer 6,Male,41,Delhi,India,Silver
7,Customer 7,Female,41,Kolkata,India,Platinum
8,Customer 8,Female,32,Mumbai,India,Platinum
9,Customer 9,Male,31,Mumbai,India,Platinum
10,Customer 10,Male,44,Bangalore,India,Silver
11,Customer 11,Male,53,Bangalore,India,Gold
12,Customer 12,Female,43,Mumbai,India,Silver
13,Customer 13,Female,43,Kolkata,India,Platinum
14,Customer 14,Male,58,Mumbai,India,Gold
15,Customer 15,Female,21,Chennai,India,Silver
16,Customer 16,Female,43,Delhi,India,Gold
17,Customer 17,Female,37,Bangalore,India,Gold
18,Customer 18,Male,22,Chennai,India,Gold
19,Customer 19,Female,54,Delhi,India,Bronze
20,Customer 20,Male,57,Bangalore,India,Gold
21,Customer 21,Female,60,Bangalore,India,Gold
22,Customer 22,Male,59,Mumbai,India,Platinum
23,Customer 23,Female,22,Chennai,India,Bronze
24,Customer 24,Female,55,Bangalore,India,Platinum
25,Customer 25,Male,41,Delhi,India,Platinum
26,Customer 26,Male,26,Bangalore,India,Gold
27,Customer 27,Female,45,Delhi,India,Gold
28,Customer 28,Female,31,Chennai,India,Gold
29,Customer 29,Male,47,Chennai,India,Silver
30,Customer 30,Male,29,Kolkata,India,Platinum
31,Customer 31,Male,31,Delhi,India,Platinum
32,Customer 32,Male,28,Delhi,India,Platinum
33,Customer 33,Female,29,Mumbai,India,Bronze
34,Customer 34,Female,45,Chennai,India,Silver
35,Customer 35,Male,25,Delhi,India,Gold
36,Customer 36,Male,28,Bangalore,India,Platinum
37,Customer 37,Female,38,Bangalore,India,Platinum
38,Customer 38,Male,53,Kolkata,India,Silver
39,Customer 39,Female,58,Chennai,India,Silver
40,Customer 40,Female,53,Bangalore,India,Platinum
41,Customer 41,Female,32,Delhi,India,Silver
42,Customer 42,Female,44,Mumbai,India,Platinum
43,Customer 43,Female,35,Bangalore,India,Platinum
44,Customer 44,Male,49,Kolkata,India,Gold
45,Customer 45,Male,20,Chennai,India,Bronze
46,Customer 46,Male,37,Chennai,India,Gold
47,Customer 47,Female,57,Delhi,India,Platinum
48,Customer 48,Male,21,Delhi,India,Silver
49,Customer 49,Female,24,Delhi,India,Bronze
50,Customer 50,Female,47,Kolkata,India,Platinum
51,Customer 51,Female,59,Kolkata,India,Bronze
52,Customer 52,Female,52,Bangalore,India,Gold
53,Customer 53,Male,52,Bangalore,India,Silver
54,Customer 54,Male,52,Bangalore,India,Bronze
55,Customer 55,Male,44,Delhi,India,Gold
56,Customer 56,Female,22,Bangalore,India,Silver
57,Customer 57,Male,47,Delhi,India,Bronze
58,Customer 58,Female,51,Bangalore,India,Gold
59,Customer 59,Female,24,Mumbai,India,Gold
60,Customer 60,Female,55,Delhi,India,Silver
61,Customer 61,Male,54,Kolkata,India,Bronze
62,Customer 62,Male,38,Bangalore,India,Gold
63,Customer 63,Male,19,Bangalore,India,Bronze
64,Customer 64,Female,45,Kolkata,India,Bronze
65,Customer 65,Male,45,Chennai,India,Platinum
66,Customer 66,Male,20,Kolkata,India,Bronze
67,Customer 67,Male,59,Bangalore,India,Platinum
68,Customer 68,Female,31,Delhi,India,Platinum
